_time,EC,Humidity_percent,PH,Temperature_C,WaterTemp_C
2023-10-25 23:06:04.677000+00:00,0.48,58.7,7.33,24.8,21.69
2023-10-25 23:11:11.869000+00:00,0.48,58.3,7.32,24.7,21.56
2023-10-25 23:16:18.848000+00:00,0.48,58.9,7.33,24.7,21.56
2023-10-25 23:21:30.992000+00:00,0.51,58.9,7.33,24.7,21.56
2023-10-25 23:26:38.390000+00:00,0.48,59,7.32,24.7,21.62
2023-10-25 23:31:45.939000+00:00,0.48,59,7.3,24.7,21.5
2023-10-25 23:36:53.221000+00:00,0.48,59.6,7.3,24.7,21.56
2023-10-25 23:42:02.780000+00:00,0.48,59.9,7.3,24.6,21.56
2023-10-25 23:47:10.338000+00:00,0.48,59.5,7.32,24.3,21.5
2023-10-25 23:52:17.302000+00:00,0.48,59.6,7.31,24.5,21.56
2023-10-25 23:57:25.330000+00:00,0.48,59.1,7.3,24.5,21.5
2023-10-26 00:02:33.186000+00:00,0.48,59.6,7.3,24.6,21.56
2023-10-26 00:07:40.115000+00:00,0.48,59.2,7.3,24.6,21.5
2023-10-26 00:12:47.223000+00:00,0.48,59.6,7.3,24.5,21.56
2023-10-26 00:17:55.461000+00:00,0.51,59.5,7.31,24.5,21.5
2023-10-26 00:23:01.774000+00:00,0.48,59.6,7.31,24.6,21.5
2023-10-26 00:28:13.932000+00:00,0.51,59.7,7.29,24.4,21.5
2023-10-26 00:33:21.259000+00:00,0.51,60.1,7.29,24.3,21.5
2023-10-26 00:38:27.975000+00:00,0.51,60,7.31,24.2,21.5
2023-10-26 00:43:34.387000+00:00,0.51,60.9,7.3,24.1,21.5
2023-10-26 00:48:45.740000+00:00,0.51,60.1,7.32,24,21.5
2023-10-26 00:53:52.998000+00:00,0.51,61.1,7.31,24.1,21.5
2023-10-26 00:59:00.322000+00:00,0.51,61.3,7.3,23.9,21.56
2023-10-26 01:04:07.706000+00:00,0.54,62,7.29,23.9,21.5
2023-10-26 01:09:20.212000+00:00,0.54,63.1,7.3,23.5,21.44
2023-10-26 01:14:27.228000+00:00,0.54,62.1,7.29,23.7,21.5
2023-10-26 01:19:58.076000+00:00,0.54,61.5,7.3,23.7,21.5
2023-10-26 01:25:06.568000+00:00,0.54,62.5,7.29,23.8,21.5
